"Extend","RunList","Header","Content Length","Content","Length(H)","Length(D)","Start(H)","Start(D)","StartLCN","EndLCN"
"1","0x3141E0C210","0x31","4","0x41E0C210","0x41","65","0x10C2E0","1098464","1.098.464","1.098.528"
"2","0x3102E942EF","0x31","4","0x02E942EF","0x02","2","0xEF42E9","-1096983","1.481","1.482"
"3","0x21017E04","0x21","3","0x017E04","0x01","1","0x047E","1150","2.631","2.631"
"4","0x3101C94C11","0x31","4","0x01C94C11","0x01","1","0x114CC9","1133769","1.136.400","1.136.400"
"5","0x3101E39BF1","0x31","4","0x01E39BF1","0x01","1","0xF19BE3","-943133","193.267","193.267"
"6","0x3101E6B900","0x31","4","0x01E6B900","0x01","1","0x00B9E6","47590","240.857","240.857"
"7","0x31013A5CFF","0x31","4","0x013A5CFF","0x01","1","0xFF5C3A","-41926","198.931","198.931"
"8","0x31014507FF","0x31","4","0x014507FF","0x01","1","0xFF0745","-63675","135.256","135.256"
"9","0x3101F4D210","0x31","4","0x01F4D210","0x01","1","0x10D2F4","1102580","1.237.836","1.237.836"
"10","0x3101658EF0","0x31","4","0x01658EF0","0x01","1","0xF08E65","-1012123","225.713","225.713"
"11","0x31017D5FFE","0x31","4","0x017D5FFE","0x01","1","0xFE5F7D","-106627","119.086","119.086"
"12","0x3101F8AAFE","0x31","4","0x01F8AAFE","0x01","1","0xFEAAF8","-87304","31.782","31.782"
"13","0x31016BED01","0x31","4","0x016BED01","0x01","1","0x01ED6B","126315","158.097","158.097"
"14","0x21013619","0x21","3","0x013619","0x01","1","0x1936","6454","164.551","164.551"
"15","0x3101F0E60F","0x31","4","0x01F0E60F","0x01","1","0x0FE6F0","1042160","1.206.711","1.206.711"
"16","0x3101A25601","0x31","4","0x01A25601","0x01","1","0x0156A2","87714","1.294.425","1.294.425"
"17","0x21010AC3","0x21","3","0x010AC3","0x01","1","0xC30A","-15606","1.278.819","1.278.819"
"18","0x210188FC","0x21","3","0x0188FC","0x01","1","0xFC88","-888","1.277.931","1.277.931"
"19","0x21015420","0x21","3","0x015420","0x01","1","0x2054","8276","1.286.207","1.286.207"
"20","0x2101CA18","0x21","3","0x01CA18","0x01","1","0x18CA","6346","1.292.553","1.292.553"
"21","0x21018435","0x21","3","0x018435","0x01","1","0x3584","13700","1.306.253","1.306.253"
"22","0x110151","0x11","2","0x0151","0x01","1","0x51","81","1.306.334","1.306.334"
